transaction_id,items,date
1,"tomato, rice, yogurt, apple",2024-07-10
2,"oil, eggs, onion, orange",2024-03-24
3,"cheese, yogurt, onion, oil, banana",2024-07-11
4,"bread, pasta, yogurt, milk",2025-08-03
5,"chicken, sugar",2024-01-05
6,"potato, oil, milk",2025-04-26
7,"cheese, orange, cereal, rice",2024-02-01
8,"oil, yogurt, pasta, tomato",2024-08-28
9,"eggs, banana, apple, bread",2025-12-17
10,"milk, yogurt, eggs, sugar",2024-05-18
11,"milk, orange, tomato",2024-12-21
12,"chicken, tomato",2024-02-20
13,"cereal, yogurt, banana, sugar, tomato",2024-09-09
14,"sugar, banana, tomato",2024-01-07
15,"beef, pasta, apple, yogurt, rice",2025-07-31
16,"cereal, butter, orange, salt, yogurt",2024-02-26
17,"chicken, beef, potato, pasta",2025-03-28
18,"sugar, cheese, chicken",2025-04-08
19,"chicken, salt, potato",2024-05-01
20,"yogurt, beef, pasta",2025-12-16
21,"salt, oil, eggs, milk, rice",2025-03-02
22,"potato, bread",2025-12-11
23,"onion, orange, rice",2024-09-18
24,"salt, cereal, bread, orange",2024-10-28
25,"tomato, cereal, pasta, chicken, orange",2024-05-21
26,"apple, onion, salt, beef, milk, bread",2024-11-04
27,"chicken, onion, salt",2025-02-12
28,"banana, onion, tomato, beef",2024-12-13
29,"bread, cheese, salt",2025-06-24
30,"cheese, salt, oil, tomato",2024-11-07
31,"rice, oil, cheese",2025-07-01
32,"bread, butter",2025-06-14
33,"yogurt, rice, orange, butter",2024-04-29
34,"salt, pasta, tomato",2024-09-29
35,"yogurt, bread, oil, cereal, beef, salt",2025-10-05
36,"chicken, orange, beef",2025-06-20
37,"oil, cereal, bread, beef",2024-12-12
38,"beef, onion, orange, sugar, rice",2025-09-07
39,"oil, cereal, pasta",2025-08-14
40,"oil, salt",2024-01-29
41,"yogurt, banana, onion, rice, orange",2024-10-29
42,"onion, pasta, yogurt, cheese",2024-01-24
43,"cereal, rice, banana, chicken, onion",2025-10-11
44,"oil, sugar",2024-05-30
45,"cereal, rice, eggs, yogurt",2025-12-05
46,"eggs, sugar, bread, orange",2025-02-17
47,"bread, yogurt, apple, sugar, pasta",2024-11-10
48,"banana, orange, yogurt, potato",2025-07-10
49,"sugar, butter, milk, bread, apple, oil",2025-03-12
50,"orange, onion",2024-02-27
51,"butter, rice, tomato",2025-05-11
52,"bread, salt, tomato, orange, milk",2025-10-28
53,"rice, yogurt, butter, potato, tomato, apple",2024-10-31
54,"cheese, pasta",2025-09-03
55,"pasta, cereal, yogurt, onion",2024-04-08
56,"yogurt, salt, eggs, rice, cereal, banana",2025-03-23
57,"beef, cheese",2024-04-07
58,"rice, salt",2025-10-25
59,"rice, orange, pasta, onion",2024-02-06
60,"milk, butter, apple, potato, oil, beef",2025-06-29
61,"apple, butter",2024-08-21
62,"rice, oil, beef, potato, milk",2024-07-18
63,"banana, apple, potato",2025-09-05
64,"banana, cheese, tomato",2024-05-23
65,"beef, potato, pasta, banana, orange, bread",2024-12-01
66,"rice, chicken",2024-04-18
67,"onion, rice, butter, sugar, banana, eggs",2025-06-28
68,"sugar, eggs, bread, beef, yogurt, banana",2025-10-14
69,"bread, eggs",2024-09-26
70,"cereal, yogurt, milk, cheese, bread, oil",2024-01-24
71,"cereal, potato, bread, orange, milk, tomato",2025-11-23
72,"sugar, banana, salt, chicken, onion",2025-02-04
73,"rice, orange, cheese, milk",2025-12-11
74,"beef, bread, butter",2024-01-10
75,"tomato, yogurt, pasta, beef",2025-10-03
76,"banana, oil, orange, cheese, salt",2024-09-20
77,"oil, rice, potato, onion, pasta",2025-02-05
78,"chicken, potato, tomato, salt, cheese, bread",2024-12-17
79,"salt, sugar, chicken, beef, cereal, oil",2025-08-25
80,"salt, butter, orange, sugar, milk, bread",2024-05-19
81,"rice, cheese, pasta, bread, eggs, oil",2025-07-08
82,"orange, butter, chicken, rice, onion, beef",2024-08-20
83,"tomato, yogurt, pasta, eggs, sugar",2025-05-14
84,"yogurt, orange, beef, bread, potato",2025-04-08
85,"rice, onion, sugar, salt, butter",2025-07-11
86,"orange, rice",2025-08-31
87,"rice, pasta, yogurt, chicken, orange",2025-10-10
88,"orange, beef, potato, banana, rice",2025-02-25
89,"potato, onion, beef",2025-09-02
90,"salt, rice, milk, potato, onion, butter",2024-02-29
91,"beef, tomato, milk, pasta, sugar",2024-10-19
92,"apple, chicken, butter, potato, pasta, sugar",2025-07-27
93,"sugar, eggs, cheese, tomato, potato",2025-10-25
94,"butter, cereal, chicken, onion, potato, salt",2025-05-23
95,"apple, butter",2025-03-18
96,"milk, salt, chicken, sugar, butter, orange",2025-02-24
97,"cheese, potato, pasta, cereal",2024-04-24
98,"cereal, butter, orange, eggs, cheese, onion",2025-02-23
99,"onion, cereal, eggs, sugar, milk",2025-02-28
100,"butter, bread, apple, sugar, pasta",2025-11-04
101,"sugar, bread",2025-08-15
102,"oil, chicken, yogurt",2025-01-26
103,"eggs, salt, cheese, beef",2025-04-10
104,"beef, oil, sugar",2025-03-10
105,"banana, eggs, salt",2025-11-01
106,"beef, apple, pasta, eggs, rice",2025-10-20
107,"orange, potato",2024-08-25
108,"cheese, banana",2024-01-04
109,"salt, eggs, cheese, milk",2024-06-21
110,"butter, eggs, orange, chicken, bread",2025-11-13
111,"banana, cheese",2024-03-10
112,"banana, potato, orange, salt",2025-06-22
113,"apple, milk, onion, oil",2024-01-30
114,"tomato, salt, onion, bread, milk",2025-03-29
115,"oil, eggs, yogurt, cheese",2024-04-11
116,"sugar, apple",2025-04-20
117,"orange, potato, bread, beef",2025-07-25
118,"eggs, onion",2024-07-15
119,"butter, beef, cereal, potato",2025-03-13
120,"butter, milk, apple, chicken",2024-09-01
121,"sugar, cheese, milk, oil",2025-01-27
122,"tomato, bread, milk, onion",2025-03-28
123,"chicken, orange, salt, rice, milk",2025-06-25
124,"banana, rice, onion, oil",2024-06-07
125,"onion, chicken, rice, tomato, potato, bread",2025-10-08
126,"bread, beef, apple",2024-10-17
127,"chicken, bread, potato, beef, apple",2024-08-01
128,"cheese, butter, potato, salt",2024-06-14
129,"tomato, cereal, onion, pasta, oil, eggs",2025-06-05
130,"sugar, rice, tomato, banana, chicken",2024-07-28
131,"beef, salt, butter, eggs, sugar, cheese",2025-08-18
132,"apple, rice, pasta, butter, eggs",2024-05-15
133,"butter, sugar",2024-07-25
134,"beef, yogurt, tomato, apple, eggs",2024-06-29
135,"cereal, apple",2025-09-25
136,"beef, cereal, rice",2025-05-13
137,"eggs, orange, yogurt, cheese, butter",2025-06-28
138,"milk, bread, orange, butter",2025-07-26
139,"cheese, onion, chicken, cereal, pasta",2025-01-06
140,"banana, rice",2024-04-23
141,"cereal, oil, potato",2024-04-10
142,"cereal, chicken, cheese, sugar, banana, potato",2024-12-30
143,"butter, bread",2024-07-24
144,"sugar, eggs, pasta",2024-12-14
145,"potato, orange, milk, sugar, cheese",2024-03-27
146,"orange, apple, salt",2024-02-21
147,"sugar, beef, orange, tomato, oil, rice",2024-07-01
148,"banana, orange, eggs",2025-08-14
149,"chicken, sugar",2025-10-18
150,"pasta, cereal, milk, rice, banana, butter",2025-11-17
151,"butter, bread, apple, salt, milk",2024-11-20
152,"eggs, onion, rice, salt, apple, oil",2025-09-20
153,"orange, salt, cereal, potato, milk",2025-06-23
154,"orange, tomato, salt, sugar, butter",2024-01-15
155,"cereal, apple, rice",2025-02-26
156,"tomato, banana, pasta, orange",2025-06-02
157,"chicken, oil",2025-06-06
158,"butter, pasta, beef, potato, apple, cereal",2025-12-03
159,"chicken, onion, apple, tomato, butter, cereal",2024-07-22
160,"banana, potato, sugar, tomato, onion",2025-02-11
161,"chicken, beef, rice, oil, tomato",2025-01-24
